start,stop,class
0.977585326547,1.15086124364,speech
1.73291374799,2.63070294785,speech
4.01081889949,5.4039572729,recorder rattle
5.45673474873,10.9656785285,bicycle on gravel
19.5899522033,19.8667564294,speech
20.2078933912,20.4190734151,speech
21.263793511,21.4966330245,speech
22.1047143141,22.3754579346,speech
23.0306574961,24.5770471989,speech
26.1722520933,29.3529634171,speech
29.8005382274,30.9809804126,speech
31.3924293757,33.6125270635,speech
34.4607210921,35.6682376393,speech
37.4865835823,39.4846715013,speech
39.6633622908,40.0044992525,speech
40.490705243,42.2018049242,speech
42.5212823964,43.019450658,speech
43.3998645331,46.800404406,speech
47.0603182817,49.242026316,speech
50.4307916665,51.5029364035,speech
51.9361261962,52.3584862441,speech
53.0082709332,53.6093217706,speech
55.8404118831,56.4252181033,speech
58.8943999218,59.2626112456,speech
0.485327144931,2.77603476887,footsteps
3.60678807782,3.86670195346,speech
4.33238098064,5.45867444173,speech
5.89194432782,8.61021027718,fumbling with microphone
11.4465509865,12.7367460129,fumbling with microphone
14.3914344105,15.4744088923,speech
16.4712284689,21.7272087319,bicycle on gravel
31.9339166166,32.2479792164,bicycle stand
51.4115293058,60.0,bicycle on gravel
25.0871752385,34.543968254,bicycle on gravel
55.9891676234,57.0294580046,bicycle gears
0.0,2.50934443363,crickets
3.09848255174,5.87089722519,crickets
6.09962143575,9.17528018342,crickets
9.43172854071,13.8996729947,crickets
14.2120028352,14.5466419501,crickets
15.4613221975,25.115060507,crickets
25.4720088962,32.3879986233,crickets
34.2842869409,44.6758774244,crickets
45.0328258136,56.362593195,crickets
56.8757065045,60.0,crickets
0.0,60.0,wind through dune grass
14.7710116621,14.9710116621,saddle bags
